Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
GRAND FILANO,yellow,2564.0,1357.0,52900.0,GRAND FILANO HYBRID
GRAND FILANO,red,2564.0,7696.0,52500.0,GRAND FILANO HYBRID
AEROX155,yellow,2561.0,2592.655274888559,46900.0,AEROX155
Q-BIX125,black,2562.0,2592.655274888559,38500.0,Q-BIX125
PCX160,red,2564.0,7134.0,89900.0,PCX160
AEROX155,black,2564.0,8087.0,52500.0,AEROX155
SCOOPY-I,white,2556.0,2592.655274888559,28900.0,SCOOPY-I
GRAND FILANO,green,2564.0,7776.0,52900.0,GRAND FILANO HYBRID
CLICK150I,gray,2562.0,2592.655274888559,46500.0,CLICK150I
GT125,black,2558.0,2592.655274888559,26900.0,GT125
N-MAX155,black,2564.0,6873.0,77900.0,N-MAX155
CLICK125I,black,2562.0,2592.655274888559,43500.0,CLICK125I
CLICK150I,black,2564.0,2592.655274888559,48900.0,CLICK150I
AEROX155,blue,2560.0,2592.655274888559,39900.0,AEROX155
GRAND FILANO,red,2564.0,8622.0,52900.0,GRAND FILANO HYBRID
