id,CarName,YEAR,COLOR,mileage,price,list_name
4672,N-MAX ,2564,สีเทาเท่ๆ,,78500.0,category-มอเตอร์ไซค์ AUTO
4669,PCX150 ,2563,สีเทาเท่ๆ,,86500.0,category-มอเตอร์ไซค์ AUTO
4702,Vespa Sprint 150 i-Get ABS ,2564,สีขาวสวยๆ,5345,96900.0,category-มอเตอร์ไซค์ AUTO
4647,AEROX155 ,2564,สีดำเท่ๆ,,67500.0,category-มอเตอร์ไซค์ AUTO
4653,FORZA300 ,2562,สีขาวน้ำเงินสวยๆ,,136900.0,category-มอเตอร์ไซค์ AUTO
4579,SCOOPY-I ,2564,สีแดงแจ่มๆ,6165,45900.0,category-มอเตอร์ไซค์ AUTO
4558,FINO125I ,2563,สีดำหรูหรา,,35500.0,category-มอเตอร์ไซค์ AUTO
4596,SCOOPY-I ,2564,สีแดงแจ่มๆ,5778,45900.0,category-มอเตอร์ไซค์ AUTO
4617,N-MAX ,2564,สีน้ำเงินเท่ๆ,,76900.0,category-มอเตอร์ไซค์ AUTO
4578,GRAND FILANO HYBRID ,2564,สีเหลืองสวยๆ,1357,52900.0,category-มอเตอร์ไซค์ AUTO
4590,GRAND FILANO HYBRID ,2564,สีแดงสวยๆ,7696,52500.0,category-มอเตอร์ไซค์ AUTO
4447,AEROX155 ,2561,สีเหลืองเท่ๆ,,46900.0,category-มอเตอร์ไซค์ AUTO
4664,Q-BIX125 ,2562,สีดำเท่ๆ,,38500.0,category-มอเตอร์ไซค์ AUTO
4654,PCX160 ,2564,สีแดงเท่ๆ,7134,89900.0,category-มอเตอร์ไซค์ AUTO
4679,AEROX155 ,2564,สีดำเท่ๆ,8087,52500.0,category-มอเตอร์ไซค์ AUTO
4657, SCOOPY-I ,2556,สีขาวสวยๆ,,28900.0,category-มอเตอร์ไซค์ AUTO
4644,GRAND FILANO HYBRID ,2564,สีเขียวแจ่มๆ,7776,52900.0,category-มอเตอร์ไซค์ AUTO
4560,CLICK150I ,2562,สีเทาสวยๆ,,46500.0,category-มอเตอร์ไซค์ AUTO
4640,GT125 ,2558,สีดำเท่ๆ,,26900.0,category-มอเตอร์ไซค์ AUTO
4659,Vespa Sprint 150 i-Get ABS ,2564,สีแดงแจ่มๆ,,99900.0,category-มอเตอร์ไซค์ AUTO
4670,N-MAX155 ,2564,สีดำเท่ๆ,6873,77900.0,category-มอเตอร์ไซค์ AUTO
4652,CLICK125I ,2562,สีดำแดงสวยๆ,,43500.0,category-มอเตอร์ไซค์ AUTO
4649,CLICK150I ,2564,สีดำส้มเท่ๆ,,48900.0,category-มอเตอร์ไซค์ AUTO
4660,AEROX155 ,2560,สีน้ำเงินเทาเท่ๆ,,39900.0,category-มอเตอร์ไซค์ AUTO
4581,GRAND FILANO HYBRID ,2564,สีแดงสวยๆ,8622,52900.0,category-มอเตอร์ไซค์ AUTO
4606,SCOOPY-I ,2564,สีน้ำเงินแจ่มๆ,,44900.0,category-มอเตอร์ไซค์ AUTO
4577,PCX160 ,2564,สีแดงเท่ๆ,6263,93500.0,category-มอเตอร์ไซค์ AUTO
4467,ADV150 ,2564,สีแดงเท่ๆ,1053,80900.0,category-มอเตอร์ไซค์ AUTO
4618,PCX150 ,2563,สีแดงแจ่มๆ,8599,86900.0,category-มอเตอร์ไซค์ AUTO
4646,GT125 ,2559,สีขาวแดงสวยๆ,,28900.0,category-มอเตอร์ไซค์ AUTO
4500,AEROX155 ,2564,สีดำสวยๆ,,49900.0,category-มอเตอร์ไซค์ AUTO
4473,AEROX155 ,2563,สีน้ำเงินเท่ๆ,,49900.0,category-มอเตอร์ไซค์ AUTO
4627,CLICK125I ,2560,สีน้ำเงินเท่ๆ,,29900.0,category-มอเตอร์ไซค์ AUTO
4588,GRAND FILANO HYBRID ABS ,2563,สีขาวเรียบหรู,,54900.0,category-มอเตอร์ไซค์ AUTO
4209,GRAND FILANO HYBRID ,2564,สีดำเท่ๆ,9261,48000.0,category-มอเตอร์ไซค์ AUTO
4208,CLICK110I ,2554,สีดำเท่ๆ,,16500.0,category-มอเตอร์ไซค์ AUTO
4205, CLICK125I ,2555,สีดำแดงเท่ๆ,,23000.0,category-มอเตอร์ไซค์ AUTO
4204,CLICK125I ,2556,สีดำแดงเท่ๆ,,22000.0,category-มอเตอร์ไซค์ AUTO
4201,CLICK110I ,2554,สีขาวน้ำเงินเท่ๆ,,16500.0,category-มอเตอร์ไซค์ AUTO
4199,GRAND FILANO HYBRID ABS ,2563,สีดำเท่ๆ,,48500.0,category-มอเตอร์ไซค์ AUTO
4564,ZOOMER-X ,2563,สีน้ำเงินดำเท่ๆ,3069,42500.0,category-มอเตอร์ไซค์ AUTO
4196,Q-BIX ,2564,สีน้ำเงินสวยๆ,4489,39000.0,category-มอเตอร์ไซค์ AUTO
4194,FIORE ,2554,สีชมพูสวยๆ,,17500.0,category-มอเตอร์ไซค์ AUTO
4193,FINO125I ,2563,สีดำสวยๆ,6035,34500.0,category-มอเตอร์ไซค์ AUTO
4192,GRAND FILANO HYBRID ,2563,สีดำเท่ๆ,,47000.0,category-มอเตอร์ไซค์ AUTO
4540,PCX150 ,2557,สีขาวสวยๆ,,48900.0,category-มอเตอร์ไซค์ AUTO
4574, GRAND FILANO HYBRID ,2561,สีขาวเทาเรียบหรู,,47900.0,category-มอเตอร์ไซค์ AUTO
4597,PCX150 ,2557,สีดำเท่ๆ,,50900.0,category-มอเตอร์ไซค์ AUTO
4608,SCOOPY-I ,2556,สีดำแดงเท่ๆ,,25900.0,category-มอเตอร์ไซค์ AUTO
4518,ZOOMER-X ,2560,สีแดงสวยๆ,,35900.0,category-มอเตอร์ไซค์ AUTO
